START ../src/Arduino-DTSU666H_PowerMeter.cpp
Version 1.0 from Sep 19 2023_
Serial plotter mode enabled
Voltage Current_x_10_Line_1 Power_of_Line1_is_5
4 0
11 0
17 0
24 0
31 0
37 0
42 0
54 0
60 0
67 0
75 0
78 0
83 0
89 0
97 0
106 0
110 0
126 0
131 0
138 0
152 0
152 0
163 0
168 0
170 0
185 0
186 0
199 0
206 0
206 0
224 0
225 0
236 0
243 0
241 0
261 0
262 0
267 0
280 0
277 0
295 0
297 0
297 0
316 0
312 0
326 0
330 0
326 0
346 0
342 0
353 0
360 0
354 0
376 0
371 0
376 0
389 0
381 0
400 0
399 0
399 0
415 0
408 0
425 0
428 0
422 0
441 0
433 0
446 0
453 0
444 0
465 0
460 0
466 0
477 0
467 0
489 0
486 0
486 0
502 0
492 0
510 0
510 0
507 0
526 0
515 0
529 0
536 0
528 0
550 0
541 0
550 0
561 0
551 0
574 0
568 0
571 0
586 0
575 0
597 0
595 0
594 0
613 0
601 0
618 0
622 0
617 0
638 0
627 0
639 0
647 0
638 0
659 0
650 0
657 0
670 0
658 0
678 0
673 0
673 0
688 0
674 0
692 0
692 0
688 0
706 0
691 0
704 0
708 0
700 0
718 0
705 0
713 0
723 0
710 0
728 0
718 0
720 0
735 0
719 0
734 0
732 0
729 0
745 0
729 0
742 0
743 0
736 0
753 0
739 0
747 0
753 0
741 0
758 10
748 0
750 0
760 10
746 10
761 0
755 10
752 10
766 10
751 10
762 10
761 10
755 10
771 10
755 10
763 10
767 10
757 10
771 0
758 10
762 10
771 20
760 10
771 10
764 20
762 10
775 10
760 10
771 20
769 20
764 10
778 10
761 20
771 10
774 10
764 20
779 20
764 20
771 20
777 20
766 20
780 20
769 20
771 20
781 30
766 20
780 30
774 30
769 30
783 30
768 20
778 20
777 30
771 20
784 30
768 30
775 30
782 30
771 30
783 30
771 30
775 30
783 30
769 30
782 30
775 30
774 30
784 30
768 30
780 30
777 30
773 30
785 30
769 30
779 30
781 30
771 30
785 30
771 30
775 30
782 30
771 40
783 30
773 30
774 30
783 30
769 30
779 20
774 30
769 30
779 30
760 30
766 30
763 30
752 30
762 30
743 20
746 20
745 10
729 10
739 20
721 10
718 10
721 20
702 10
710 10
697 10
688 10
696 10
672 10
679 10
671 0
658 0
668 0
646 0
648 0
646 0
629 0
639 0
620 0
619 0
620 0
601 0
612 0
597 0
590 0
595 0
575 0
583 0
574 0
562 0
569 0
550 0
556 0
550 0
536 0
545 0
526 0
527 0
524 0
506 0
518 0
501 0
496 0
498 0
479 0
489 0
476 0
467 0
472 0
453 0
460 0
450 0
437 0
446 0
429 0
432 0
425 0
409 0
419 0
405 0
403 0
401 0
384 0
394 0
383 0
377 0
380 0
364 0
371 0
361 0
352 0
357 0
342 0
345 0
339 0
325 0
333 0
320 0
319 0
316 0
300 0
307 0
297 0
290 0
290 0
276 0
281 0
272 0
263 0
265 0
252 0
252 0
245 0
233 0
236 0
224 0
222 0
216 0
201 0
202 0
192 0
188 0
181 0
167 0
168 0
159 0
152 0
145 0
135 0
133 0
125 0
114 0
111 0
102 0
97 0
89 0
79 0
76 0
68 0
62 0
56 0
48 0
44 0
35 0
29 0
25 0
16 0
10 0
5 0
0 0

Voltage Current_x_10_Line_1 Power_of_Line1_is_5
6 0
12 0
19 0
25 0
30 0
39 0
46 0
54 0
62 0
66 0
71 0
77 0
83 0
93 0
97 0
112 0
117 0
121 0
134 0
137 0
147 0
152 0
153 0
167 0
170 0
181 0
188 0
188 0
206 0
207 0
216 0
224 0
223 0
240 0
243 0
248 0
262 0
259 0
275 0
280 0
278 0
296 0
294 0
306 0
313 0
307 0
329 0
327 0
334 0
344 0
339 0
360 0
359 0
361 0
377 0
369 0
388 0
389 0
386 0
405 0
398 0
413 0
418 0
412 0
432 0
425 0
435 0
445 0
435 0
457 0
453 0
455 0
470 0
460 0
480 0
479 0
476 0
493 0
483 0
499 0
502 0
496 0
517 0
508 0
517 0
524 0
515 0
540 0
531 0
536 0
549 0
538 0
560 0
556 0
557 0
574 0
561 0
579 0
583 0
580 0
600 0
590 0
604 0
611 0
604 0
627 0
617 0
625 0
638 0
627 0
649 0
643 0
646 0
662 0
649 0
668 0
668 0
665 0
684 0
670 0
684 0
688 0
681 0
700 0
686 0
697 0
705 0
694 0
713 0
704 0
707 0
718 0
705 0
721 0
717 0
716 0
730 0
716 0
729 0
729 0
723 0
741 0
726 0
737 0
743 0
732 0
750 0
738 0
743 0
751 0
738 0
754 0
746 10
745 10
760 10
743 0
757 10
754 0
748 10
765 10
749 10
758 10
760 10
753 10
768 10
752 10
760 0
766 10
753 10
768 10
758 10
760 10
770 20
755 10
768 10
762 10
760 10
773 10
757 10
768 20
768 20
760 10
775 20
760 20
767 0
771 10
761 20
775 20
762 20
766 20
775 10
761 10
775 10
768 20
767 20
780 20
764 20
775 20
772 20
766 20
781 20
764 30
773 20
777 20
768 20
782 20
768 30
773 20
780 20
768 20
780 30
771 20
771 30
781 30
766 30
780 20
774 30
770 30
782 30
767 30
777 30
778 30
769 30
782 30
768 30
775 30
780 30
769 30
782 30
771 30
774 30
782 30
768 30
780 30
773 30
771 30
782 30
768 30
777 30
775 30
768 30
780 30
764 20
770 30
771 30
760 30
771 20
752 20
752 20
755 20
737 10
747 10
732 20
728 20
732 10
711 10
718 10
707 10
698 10
707 10
684 10
688 10
684 0
668 0
678 0
657 0
657 0
658 0
639 0
649 0
633 0
629 0
632 0
613 0
622 0
610 0
601 0
608 0
586 0
594 0
588 0
575 0
583 0
563 0
568 0
563 0
546 0
557 0
540 0
537 0
537 0
518 0
529 0
514 0
506 0
510 0
492 0
499 0
489 0
477 0
483 0
465 0
470 0
462 0
448 0
455 0
440 0
440 0
435 0
419 0
430 0
415 0
410 0
412 0
394 0
403 0
393 0
384 0
388 0
372 0
378 0
370 0
358 0
365 0
352 0
352 0
348 0
333 0
341 0
329 0
326 0
323 0
309 0
318 0
307 0
300 0
302 0
287 0
291 0
284 0
273 0
276 0
264 0
265 0
258 0
243 0
249 0
238 0
234 0
228 0
213 0
216 0
207 0
199 0
197 0
184 0
184 0
175 0
163 0
161 0
152 0
149 0
140 0
128 0
126 0
116 0
111 0
103 0
93 0
90 0
81 0
75 0
69 0
60 0
54 0
48 0
41 0
35 0
28 0
24 0
17 0
8 0
1 0
0 0

Voltage Current_x_10_Line_2 Power_of_Line2_is_-1443
6 250
13 240
21 220
28 220
35 180
42 170
48 140
57 90
64 120
68 180
74 280
79 330
89 360
95 430
99 380
115 340
120 320
130 240
137 220
137 160
152 120
154 120
161 50
171 70
172 10
188 0
192 0
195 0
209 0
208 0
223 0
227 0
226 0
243 0
242 0
254 0
261 0
257 0
278 0
277 0
286 0
295 0
290 0
310 0
310 0
313 0
327 0
321 0
341 0
342 0
341 0
359 0
353 0
368 0
373 0
368 0
390 0
384 0
393 0
403 0
394 0
417 0
414 0
417 0
432 0
422 0
444 0
443 0
441 0
457 0
449 0
466 0
469 0
463 0
483 0
476 0
486 0
493 0
483 0
507 0
498 0
504 0
517 0
506 0
529 0
524 0
524 0
540 0
528 0
547 0
547 0
543 0
561 0
551 0
565 0
572 0
564 0
585 0
576 0
584 0
597 0
587 0
610 0
604 0
608 0
624 0
611 0
633 0
632 0
630 0
649 0
636 0
652 0
655 0
651 0
671 0
658 0
670 0
679 0
670 0
690 0
679 0
686 0
697 0
685 0
704 0
699 0
699 0
714 0
698 0
714 0
714 0
708 0
728 0
711 0
722 0
728 0
717 0
736 0
721 0
729 0
738 0
725 0
743 0
734 0
736 0
749 0
733 0
748 0
745 0
741 0
757 0
740 0
753 0
754 0
745 0
761 0
748 0
753 0
760 0
749 0
764 0
753 0
754 0
764 0
